2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAM28,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMA9,CDI,%CDI,100.00,2024-10-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMD9,CDI,%CDI,100.00,2024-10-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBN24,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBN15,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNA8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBL34,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBL15,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLA6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLA7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLA8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,LBAM14,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BLAN15,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,UBLS16,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,UBLS17,CDI,%CDI,100.00,2035-03-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,LBAM13,TR,Outros,100.00,2080-03-05
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLB6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLB7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLB8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLC6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLC7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLC8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLD6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLD7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLD8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLE6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLE7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLE8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLF6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLF7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLF8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLG6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLG7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLG8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLH6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLH7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLH8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLI6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLI7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLI8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLJ6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLJ7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLJ8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLK6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLK7,CDI,%CDI,100.00,2027-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLK8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLL6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLL8,CDI,%CDI,100.00,2027-12-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLM6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLN6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLO6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLP6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,BFBLQ6,CDI,%CDI,100.00,2026-07-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNB8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNC8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBND8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNE8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNF8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNG8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNH8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNI8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNJ8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNK8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNL8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNM8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNN8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNO8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNP8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNQ8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNR8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNS8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNT8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBNU8,CDI,%CDI,100.00,2032-01-26
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMB9,CDI,%CDI,100.00,2024-10-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMC9,CDI,%CDI,100.00,2024-10-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAME9,CDI,%CDI,100.00,2024-10-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMF9,CDI,%CDI,100.00,2024-10-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,DIBN16,CDI,%CDI,100.00,2023-01-15
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMA8,CDI,%CDI,100.00,2022-11-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMB8,CDI,%CDI,100.00,2022-11-01
2022-10-18,65.654.303/0001-73,DIBENS LEASING S.A.- ARREND. MERCANTIL,Debênture,ILAMC8,CDI,%CDI,100.00,2022-11-01
2022-10-18,92.665.611/0001-77,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,Debênture,PNVL13,CDI,%CDI,109.00,2024-05-10
2022-10-18,92.665.611/0001-77,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,Debênture,BRPNVLDBS035,CDI,%CDI,109.01,2024-06-10
2022-10-18,92.665.611/0001-77,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,Debênture,PNVL14,CDI,CDI+,100.00,2025-04-25
2022-10-18,16.614.075/0001-00,DIRECIONAL ENGENHARIA SA,Debênture,DIRR16,CDI,CDI+,100.00,2025-09-21
2022-10-18,16.614.075/0001-00,DIRECIONAL ENGENHARIA SA,Debênture,DIRR18,CDI,CDI+,100.00,2026-10-15
2022-10-18,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA SA,Debênture,GEPA24,IPCA,IPCA+,100.00,2023-07-16
2022-10-18,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA SA,Debênture,GEPA18,CDI,%CDI,106.75,2023-03-15
2022-10-18,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA SA,Debênture,GEPA28,IPCA,IPCA+,100.00,2025-03-15
2022-10-18,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA SA,Debênture,GEPA19,CDI,CDI+,100.00,2024-01-26
2022-10-18,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA SA,Debênture,GEPA29,CDI,CDI+,100.00,2026-01-26
2022-10-18,97.837.181/0001-47,DEXCO S.A.,Debênture,DTEX12,CDI,%CDI,108.00,2026-05-17
2022-10-18,97.837.181/0001-47,DEXCO S.A.,Debênture,BRDXCODBS000,CDI,%CDI,108.00,2026-05-17
2022-10-18,02.535.294/0001-81,EASYPAR SA,Debênture,EASY11,IGPD,Outros,100.00,9999-12-31
2022-10-18,02.151.985/0001-81,ECO HILLS SA,Debênture,HILL11,ANBID,Outros,100.00,9999-12-31
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ECCR14,CDI,%CDI,105.50,2025-04-12
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDV26,CDI,%CDI,110.25,2022-11-15
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDV36,IPCA,IPCA+,100.00,2024-11-15
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDV17,IPCA,IPCA+,100.00,2025-06-15
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDV18,CDI,CDI+,100.00,2024-04-15
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDV38,IPCA,IPCA+,100.00,2026-04-15
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDV19,CDI,CDI+,100.00,2022-12-30
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDVA0,CDI,CDI+,100.00,2023-07-13
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,BRERDVDBS0G3,CDI,CDI+,100.00,2026-04-15
2022-10-18,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Debênture,ERDVA1,CDI,CDI+,100.00,2027-08-22
2022-10-18,60.598.059/0001-55,EDITORA ABRIL SA,Debênture,EDAB12,IGPM,Outros,100.00,
2022-10-18,60.598.059/0001-55,EDITORA ABRIL SA,Debênture,EDAB22,IGPM,Outros,100.00,
2022-10-18,60.598.059/0001-55,EDITORA ABRIL SA,Debênture,EDAB32,IGPM,Outros,100.00,
2022-10-18,03.983.431/0001-03,EDP ENERGIAS DO BRASIL S/A,Debênture,ENBR34,IPCA,IPCA+,100.00,2024-09-15
2022-10-18,13.788.120/0001-47,ELEKEIROZ S/A,Debênture,ELKZ12,CDI,CDI+,100.00,2023-06-22
2022-10-18,06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS SA,Debênture,PGMN14,CDI,CDI+,100.00,2024-02-11
2022-10-18,06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS SA,Debênture,PGMN15,CDI,CDI+,100.00,2023-01-21
2022-10-18,06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS SA,Debênture,PGMN16,CDI,CDI+,100.00,2026-11-05
2022-10-18,06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS SA,Debênture,PGMN26,CDI,CDI+,100.00,2028-11-05
2022-10-18,06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS SA,Debênture,PGMN17,CDI,CDI+,100.00,2026-07-15
2022-10-18,02.511.048/0001-90,EMPRESA CONC.DE RODOV.DO SUL S/A ECOSUL,Debênture,ECOS14,CDI,CDI+,100.00,2024-05-30
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ESULA1,IPCA,IPCA+,100.00,2025-09-15
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ESULA2,CDI,CDI+,100.00,2024-06-10
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ESULA4,CDI,CDI+,100.00,2025-08-25
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ESULA6,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENERDBS032,IPCA,IPCA+,100.00,2024-09-15
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENERDBS057,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENERDBS065,IPCA,IPCA+,100.00,2027-10-15
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENERDBS0G2,IPCA,IPCA+,100.00,2036-10-15
2022-10-18,15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ESULA7,CDI,CDI+,100.00,2027-08-22
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAEL15,IPCA,IPCA+,100.00,2025-09-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAEL16,CDI,CDI+,100.00,2024-06-10
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAEL26,CDI,CDI+,100.00,2026-06-10
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAEL17,CDI,CDI+,100.00,2023-02-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAEL18,CDI,CDI+,100.00,2025-08-25
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRSAELDBS024,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRSAELDBS032,IPCA,IPCA+,100.00,2027-10-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAELA0,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRSAELDBS0D4,IPCA,IPCA+,100.00,2036-10-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,SAELA1,IPCA,IPCA+,100.00,2030-01-15
2022-10-18,09.095.183/0001-40,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRSAELDBS0F9,IPCA,IPCA+,100.00,2032-01-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGI28,IPCA,IPCA+,100.00,2024-06-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGI29,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGI39,IPCA,IPCA+,100.00,2027-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIA1,IPCA,IPCA+,100.00,2026-04-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIA3,CDI,CDI+,100.00,2025-08-25
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIA4,IPCA,IPCA+,100.00,2027-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIB4,IPCA,IPCA+,100.00,2030-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIA5,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIB5,CDI,CDI+,100.00,2026-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIC5,CDI,CDI+,100.00,2028-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,BRENGIDBS0I7,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,BRENGIDBS0R8,IPCA,IPCA+,100.00,2036-10-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIA6,IPCA,IPCA+,100.00,2029-04-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIB6,IPCA,IPCA+,100.00,2032-04-15
2022-10-18,00.864.214/0001-06,ENERGISA SA,Debênture,ENGIC6,CDI,CDI+,100.00,2027-04-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ENSE16,IPCA,IPCA+,100.00,2025-09-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ENSE17,CDI,CDI+,100.00,2024-06-10
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ENSE18,CDI,CDI+,100.00,2023-02-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENSEDBS089,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENSEDBS097,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ENSEA0,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENSEDBS0I7,IPCA,IPCA+,100.00,2036-10-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,ENSEA1,IPCA,IPCA+,100.00,2027-07-15
2022-10-18,13.017.462/0001-63,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRENSEDBS0K3,IPCA,IPCA+,100.00,2032-01-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV12,CDI,CDI+,100.00,2024-05-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV22,CDI,CDI+,100.00,2027-05-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV32,IPCA,IPCA+,100.00,2029-05-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV13,IPCA,IPCA+,100.00,2027-12-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV15,IPCA,IPCA+,100.00,2030-06-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV16,IPCA,IPCA+,100.00,2030-09-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV26,IPCA,IPCA+,100.00,2035-09-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,BRENEVDBS0B7,IPCA,IPCA+,100.00,2031-03-12
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,BRENEVDBS0C5,IPCA,IPCA+,100.00,2036-12-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,BRENEVDBS0D3,CDI,CDI+,100.00,2028-12-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,BRENEVDBS0E1,CDI,CDI+,100.00,2031-12-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV17,CDI,CDI+,100.00,2023-05-18
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV18,IPCA,IPCA+,100.00,2032-07-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV28,IPCA,IPCA+,100.00,2037-07-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV38,CDI,CDI+,100.00,2029-07-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV48,CDI,CDI+,100.00,2032-07-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV19,IPCA,IPCA+,100.00,2032-09-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV29,IPCA,IPCA+,100.00,2037-09-15
2022-10-18,04.423.567/0001-21,ENEVA S.A.,Debênture,ENEV39,IPCA,IPCA+,100.00,2042-09-15
2022-10-18,03.220.438/0001-73,EQUATORIAL ENERGIA S/A,Debênture,BREQTLDBS077,CDI,CDI+,100.00,2030-12-15
2022-10-18,03.220.438/0001-73,EQUATORIAL ENERGIA S/A,Debênture,BREQTLDBS085,CDI,CDI+,100.00,2031-12-15
2022-10-18,28.152.650/0001-71,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Debênture,ESCE17,IPCA,IPCA+,100.00,2025-07-15
2022-10-18,28.152.650/0001-71,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Debênture,ESCE18,CDI,%CDI,106.90,2024-03-30
2022-10-18,28.152.650/0001-71,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Debênture,ESCEA0,IPCA,IPCA+,100.00,2025-07-15
2022-10-18,28.152.650/0001-71,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Debênture,ESCEA1,CDI,CDI+,100.00,2025-07-15
